shot_id,action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent
18402,Layup Shot,34.0443,0,0,-118.2698,6,3,0,Apr-03,0,0,,Center(C),2004/4/6,POR
1573,Running Jump Shot,33.9193,-33,125,-118.3028,3,3,0,Jan-00,36,12,0,Center(C),2000/10/31,POR
8769,Layup Shot,34.0503,11,-6,-118.2588,0,4,1,Feb-01,5,1,1,Center(C),2002/5/12,SAS
20429,Jump Shot,33.9143,133,130,-118.1368,11,2,0,Apr-03,23,18,0,Right Side Center(RC),2003/11/1,PHX
25391,Driving Finger Roll Shot,34.0443,0,0,-118.2698,4,1,0,Jun-05,46,0,,Center(C),2006/1/27,GSW
9940,Layup Shot,34.0443,-13,0,-118.2828,5,2,1,Dec-11,15,1,1,Center(C),2012/5/14,OKC
19888,Jump Shot,33.7963,-61,248,-118.3308,1,1,0,May-04,56,25,,Center(C),2005/3/15,PHI
2496,Pullup Jump shot,33.9443,141,100,-118.1288,7,3,0,2015-16,45,17,0,Right Side(R),2015/11/6,BKN
17330,Jump Shot,33.8393,-7,205,-118.2768,8,1,1,Dec-11,25,20,,Center(C),2012/5/10,DEN
15003,Jump Shot,33.8833,128,161,-118.1418,5,2,0,Aug-07,5,20,,Right Side Center(RC),2007/12/16,LAC
27960,Jump Shot,33.8783,63,166,-118.2068,7,2,0,1999-00,47,17,,Right Side Center(RC),2000/4/8,SAS
8640,Jump Shot,33.9863,94,58,-118.1758,4,4,0,Jul-06,54,11,1,Right Side(R),2007/3/4,PHX
2506,Step Back Jump shot,33.9333,96,111,-118.1738,7,4,0,2015-16,37,14,0,Right Side(R),2016/4/3,BOS
20664,Jump Shot,33.9143,-169,130,-118.4388,8,2,0,1999-00,54,21,,Left Side Center(LC),2000/3/20,MIA
24073,Layup Shot,34.0443,0,0,-118.2698,8,1,0,May-04,22,0,0,Center(C),2004/12/28,TOR
6089,Running Jump Shot,33.9673,-46,77,-118.3158,4,3,0,Mar-02,30,8,1,Left Side(L),2003/2/1,UTA
28170,Layup Shot,34.0443,0,0,-118.2698,5,1,0,Mar-02,15,0,,Center(C),2002/12/1,MIN
22205,Jump Shot,33.9573,-113,87,-118.3828,11,3,0,1998-99,4,14,,Left Side(L),1999/4/2,PHX
6329,Jump Shot,33.9153,-207,129,-118.4768,4,4,0,Oct-09,22,24,1,Left Side Center(LC),2010/1/26,WAS
16630,Jump Shot,33.8663,-29,178,-118.2988,4,2,0,Oct-09,31,18,0,Center(C),2009/12/1,NOH
22034,Jump Shot,33.9883,-65,56,-118.3348,6,2,1,Oct-09,57,8,0,Left Side(L),2010/4/22,OKC
6428,Jump Shot,34.0143,158,30,-118.1118,3,3,0,Jul-06,26,16,0,Right Side(R),2007/2/13,NYK
9363,Layup Shot,34.0443,0,0,-118.2698,10,3,0,Aug-07,4,0,0,Center(C),2008/1/13,MEM
25885,Jump Shot,34.0643,-142,-20,-118.4118,2,4,0,1996-97,17,14,0,Left Side(L),1997/3/23,ORL
26655,Jump Shot,33.9783,-42,66,-118.3118,0,1,0,1997-98,4,7,0,Center(C),1998/3/11,POR
6535,Jump Shot,33.9563,-235,88,-118.5048,8,4,0,Oct-09,58,25,0,Left Side Center(LC),2010/3/2,IND
25909,Hook Shot,33.9923,25,52,-118.2448,5,3,0,2015-16,23,5,0,Center(C),2016/1/8,OKC
14625,Jump Shot,33.9343,-44,110,-118.3138,5,4,1,Jan-00,21,11,0,Center(C),2001/5/19,SAS
29092,Jump Shot,33.9353,-55,109,-118.3248,0,1,0,1997-98,41,12,1,Center(C),1998/1/9,LAC
22586,Jump Shot,33.8393,135,205,-118.1348,9,3,0,2015-16,0,24,,Right Side Center(RC),2016/2/21,CHI
11766,Jump Shot,33.8243,107,220,-118.1628,6,4,1,Apr-03,38,24,0,Right Side Center(RC),2004/4/28,HOU
1012,Jump Shot,33.8133,97,231,-118.1728,6,3,0,Oct-09,24,25,0,Right Side Center(RC),2010/2/26,PHI
25699,Jump Shot,33.9533,-64,91,-118.3338,4,2,0,Dec-11,12,11,,Left Side(L),2012/4/20,SAS
14741,Jump Shot,33.8953,-86,149,-118.3558,2,4,0,Nov-10,37,17,,Left Side Center(LC),2011/2/23,POR
27956,Jump Shot,33.8453,49,199,-118.2208,4,2,0,Aug-07,51,20,1,Center(C),2008/1/14,SEA
9072,Jump Shot,33.8873,-188,157,-118.4578,10,1,0,Sep-08,41,24,1,Left Side Center(LC),2009/2/2,NYK
1035,Jump Shot,33.8113,148,233,-118.1218,3,2,0,Jun-05,51,27,0,Right Side Center(RC),2006/3/17,NJN
15382,Jump Shot,34.0473,-192,-3,-118.4618,2,4,0,Jun-05,41,19,0,Left Side(L),2006/2/24,LAC
2271,Jump Shot,34.0083,-27,36,-118.2968,10,3,1,Jan-00,36,4,,Center(C),2001/6/15,PHI
697,Fadeaway Jump Shot,34.0303,70,14,-118.1998,5,4,0,2014-15,2,7,0,Center(C),2014/11/9,CHA
28401,Jump Shot,34.0293,236,15,-118.0338,2,2,0,May-04,58,23,0,Right Side(R),2004/11/12,ORL
11779,Jump Shot,33.8833,-181,161,-118.4508,0,1,0,Jun-05,30,24,1,Left Side Center(LC),2006/2/28,ORL
3705,Jump Shot,33.8853,-38,159,-118.3078,11,3,0,2015-16,24,16,,Center(C),2015/12/17,HOU
12614,Jump Shot,33.8173,123,227,-118.1468,0,3,0,1997-98,39,25,1,Right Side Center(RC),1997/12/5,SAS
24350,Jump Shot,33.9743,18,70,-118.2518,6,4,1,Jan-00,40,7,0,Center(C),2001/5/19,SAS
1452,Running Jump Shot,33.9113,-54,133,-118.3238,7,3,0,Jun-05,13,14,1,Center(C),2006/3/1,POR
16125,Layup Shot,33.9593,-85,85,-118.3548,4,3,0,1997-98,53,12,0,Left Side(L),1997/11/23,LAC
29317,Driving Layup Shot,34.0443,0,0,-118.2698,0,1,1,Apr-03,48,0,,Center(C),2004/6/6,DET
14396,Jump Hook Shot,33.9893,18,55,-118.2518,8,4,0,Oct-09,14,5,1,Center(C),2009/12/11,MIN
2791,Reverse Layup Shot,34.0443,0,0,-118.2698,11,4,0,Mar-02,44,0,0,Center(C),2003/1/12,MIA
8664,Jump Shot,33.3163,-168,728,-118.4378,0,1,1,Oct-09,0,74,0,Back Court(BC),2010/4/30,OKC
3306,Reverse Layup Shot,34.0443,0,0,-118.2698,9,3,0,Jul-06,7,0,1,Center(C),2007/4/18,SAC
5517,Jump Shot,34.0163,-197,28,-118.4668,5,2,0,Jan-00,13,19,0,Left Side(L),2000/12/12,MIL
7881,Jump Shot,33.8653,105,179,-118.1648,7,2,0,Oct-09,6,20,0,Right Side Center(RC),2010/1/1,SAC
30682,Jump Shot,33.8583,-164,186,-118.4338,5,2,1,Oct-09,57,24,,Left Side Center(LC),2010/5/4,UTA
6691,Jump Shot,33.9043,72,140,-118.1978,11,4,0,Apr-03,27,15,1,Center(C),2004/4/13,GSW
6745,Jump Shot,34.0273,141,17,-118.1288,3,2,0,Oct-09,51,14,,Right Side(R),2010/1/8,POR
7133,Jump Shot,33.9753,-56,69,-118.3258,4,2,0,Apr-03,44,8,0,Left Side(L),2004/3/13,CHI
13362,Jump Shot,33.9453,98,99,-118.1718,7,3,0,Jan-00,55,13,1,Right Side(R),2001/3/21,MIL
5422,Jump Shot,33.9433,-218,101,-118.4878,7,3,0,Sep-08,38,24,,Left Side Center(LC),2009/3/1,PHX
6174,Jump Shot,33.7903,12,254,-118.2578,2,4,1,Sep-08,35,25,0,Center(C),2009/5/25,DEN
15389,Jump Shot,34.0023,24,42,-118.2458,0,3,0,Jan-00,23,4,0,Center(C),2001/3/16,WAS
16920,Turnaround Jump Shot,33.8953,-127,149,-118.3968,6,3,1,Dec-11,32,19,1,Left Side Center(LC),2012/5/10,DEN
28783,Layup Shot,34.0443,0,0,-118.2698,7,3,1,Oct-09,5,0,1,Center(C),2010/6/15,BOS
25907,Jump Shot,33.8823,21,162,-118.2488,7,4,0,Dec-11,38,16,1,Center(C),2012/1/16,DAL
14682,Jump Shot,33.8143,136,230,-118.1338,0,2,1,Sep-08,38,26,0,Right Side Center(RC),2009/6/4,ORL
30547,Jump Shot,33.8733,-41,171,-118.3108,8,1,0,Aug-07,0,17,0,Center(C),2007/12/30,BOS
23527,Driving Layup Shot,34.0443,0,0,-118.2698,4,3,0,Jun-05,5,0,,Center(C),2005/11/8,ATL
1889,Jump Shot,33.9013,41,143,-118.2288,11,3,0,Apr-03,26,14,1,Center(C),2003/11/6,SAS
18397,Turnaround Jump Shot,33.8683,-3,176,-118.2728,5,4,1,Aug-07,31,17,1,Center(C),2008/4/28,DEN
17436,Jump Shot,33.9163,113,128,-118.1568,11,1,0,Jul-06,47,17,,Right Side Center(RC),2007/2/9,TOR
22924,Layup Shot,34.0443,0,0,-118.2698,8,4,0,Apr-03,7,0,0,Center(C),2004/4/11,SAC
13133,Jump Shot,33.8683,34,176,-118.2358,4,4,0,Dec-11,3,17,1,Center(C),2012/3/21,DAL
5551,Jump Shot,33.8163,-97,228,-118.3668,2,2,0,2014-15,4,24,0,Left Side Center(LC),2014/11/9,CHA
27915,Jump Shot,33.9623,118,82,-118.1518,3,2,0,Jul-06,37,14,1,Right Side(R),2007/3/6,MIN
18544,Jump Shot,33.8393,32,205,-118.2378,9,1,1,Oct-09,45,20,0,Center(C),2010/5/4,UTA
12036,Jump Shot,34.0673,163,-23,-118.1068,9,4,0,Jun-05,19,16,0,Right Side(R),2005/12/6,MIL
6290,Jump Shot,33.8653,121,179,-118.1488,4,1,0,Aug-07,17,21,1,Right Side Center(RC),2007/11/2,PHX
1414,Fadeaway Jump Shot,34.0273,106,17,-118.1638,6,3,0,Sep-08,44,10,1,Right Side(R),2009/1/19,CLE
22637,Layup Shot,34.0443,0,0,-118.2698,3,3,0,Feb-01,44,0,0,Center(C),2002/3/29,POR
1563,Jump Shot,33.9733,151,71,-118.1188,3,4,0,2014-15,20,16,0,Right Side(R),2014/12/12,SAS
23602,Jump Shot,34.0043,-25,40,-118.2948,2,4,0,1998-99,24,4,0,Center(C),1999/2/8,SAS
21020,Jump Shot,33.7963,-5,248,-118.2748,7,4,0,Aug-07,27,24,0,Center(C),2007/11/20,IND
20298,Running Jump Shot,33.8763,-75,168,-118.3448,0,3,0,Mar-02,38,18,1,Left Side Center(LC),2002/12/17,MIN
4685,Jump Shot,33.8323,-131,212,-118.4008,9,3,0,Mar-02,19,24,1,Left Side Center(LC),2003/1/7,SEA
19984,Jump Shot,33.8243,123,220,-118.1468,7,2,0,1997-98,52,25,0,Right Side Center(RC),1998/3/31,TOR
20242,Driving Layup Shot,34.0443,0,0,-118.2698,4,2,0,Feb-01,25,0,0,Center(C),2002/1/30,ORL
5785,Jump Shot,33.9723,43,72,-118.2268,6,2,0,2012-13,46,8,0,Right Side(R),2012/12/22,GSW
5260,Turnaround Fadeaway shot,33.8713,-26,173,-118.2958,2,4,0,Dec-11,0,17,1,Center(C),2012/3/2,SAC
29897,Layup Shot,34.0443,0,0,-118.2698,3,2,0,1996-97,56,0,1,Center(C),1997/4/8,GSW
3624,Jump Shot,33.8933,222,151,-118.0478,4,4,0,Jun-05,20,26,0,Right Side Center(RC),2006/3/14,SAC
7175,Jump Shot,34.0463,-155,-2,-118.4248,10,2,0,Feb-01,47,15,1,Left Side(L),2002/2/26,MIL
11205,Jump Shot,34.0343,-232,10,-118.5018,7,2,0,Jul-06,36,23,0,Left Side(L),2007/3/27,MEM
30390,Jump Shot,34.0283,-63,16,-118.3328,0,2,0,1997-98,45,6,0,Center(C),1998/3/2,WAS
6563,Running Jump Shot,34.0143,64,30,-118.2058,0,1,0,1996-97,0,7,1,Center(C),1997/4/2,DEN
181,Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1997-98,26,0,1,Center(C),1997/11/28,PHI
27590,Jump Shot,33.8713,65,173,-118.2048,0,4,0,2012-13,55,18,0,Right Side Center(RC),2013/4/5,MEM
14108,Jump Shot,33.8633,-176,181,-118.4458,0,3,0,Mar-02,0,25,0,Left Side Center(LC),2003/3/11,CHI
7232,Jump Shot,34.0043,182,40,-118.0878,7,1,0,Mar-02,33,18,1,Right Side(R),2002/11/15,GSW
28791,Jump Shot,33.8613,-24,183,-118.2938,1,5,1,Sep-08,58,18,0,Center(C),2009/6/11,ORL
17805,Jump Shot,33.8303,-124,214,-118.3938,4,1,0,2015-16,16,24,0,Left Side Center(LC),2015/12/22,DEN
12784,Dunk Shot,34.0443,6,0,-118.2638,2,4,0,Nov-10,22,0,1,Center(C),2011/3/20,POR
12777,Jump Shot,33.9013,173,143,-118.0968,9,3,0,Nov-10,36,22,0,Right Side Center(RC),2011/3/6,SAS
5590,Turnaround Jump Shot,33.8773,43,167,-118.2268,5,3,1,Sep-08,28,17,0,Center(C),2009/5/29,DEN
470,Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1998-99,33,0,1,Center(C),1999/5/2,SEA
7722,Jump Shot,33.9323,-178,112,-118.4478,2,4,0,Feb-01,7,21,0,Left Side(L),2002/3/19,DAL
7406,Jump Shot,33.9103,-139,134,-118.4088,2,1,0,1999-00,21,19,1,Left Side Center(LC),1999/12/17,MIN
2167,Jump Shot,33.9123,-135,132,-118.4048,4,2,0,May-04,12,18,1,Left Side Center(LC),2004/11/5,SAS
30386,Running Jump Shot,33.8153,119,229,-118.1508,1,1,0,2015-16,36,25,1,Right Side Center(RC),2015/12/27,MEM
1028,Driving Layup Shot,34.0443,0,0,-118.2698,0,1,0,1997-98,0,0,,Center(C),1998/4/10,PHX
11728,Pullup Bank shot,34.0183,72,26,-118.1978,3,1,0,2013-14,37,7,1,Center(C),2013/12/17,MEM
21172,Jump Shot,33.7403,22,304,-118.2478,0,1,0,Jan-00,0,30,1,Center(C),2001/2/7,PHX
1424,Layup Shot,34.0443,0,0,-118.2698,1,3,0,May-04,38,0,,Center(C),2005/4/7,HOU
27132,Jump Shot,33.8923,140,152,-118.1298,4,5,1,Jan-00,43,20,0,Right Side Center(RC),2001/6/6,PHI
29460,Jump Shot,33.9913,33,53,-118.2368,8,1,0,1999-00,22,6,1,Center(C),2000/2/9,MIN
19287,Dunk Shot,34.0383,0,6,-118.2698,4,5,0,Dec-11,25,0,,Center(C),2012/3/14,NOH
18154,Slam Dunk Shot,34.0443,0,0,-118.2698,8,4,0,Mar-02,42,0,1,Center(C),2003/2/27,DET
26206,Driving Hook Shot,34.0083,62,36,-118.2078,7,1,0,Jun-05,39,7,0,Center(C),2006/1/22,TOR
14657,Turnaround Jump Shot,34.0273,187,17,-118.0828,6,2,1,Sep-08,17,18,1,Right Side(R),2009/5/25,DEN
22980,Driving Layup Shot,34.0443,0,0,-118.2698,2,4,0,Oct-09,36,0,1,Center(C),2010/3/7,ORL
11204,Jump Shot,33.9213,110,123,-118.1598,0,1,0,Jun-05,39,16,0,Right Side Center(RC),2006/4/2,HOU
23911,Jump Shot,33.9173,-134,127,-118.4038,1,3,0,Sep-08,34,18,,Left Side Center(LC),2008/10/28,POR
8920,Jump Shot,33.9763,175,68,-118.0948,3,4,0,1999-00,37,18,1,Right Side(R),2000/4/18,DAL
1193,Jump Shot,33.7983,65,246,-118.2048,7,4,0,Sep-08,0,25,0,Center(C),2009/1/19,CLE
7509,Jump Shot,33.9443,-66,100,-118.3358,5,4,0,Jul-06,45,11,,Left Side(L),2006/11/17,TOR
6175,Alley Oop Layup shot,34.0193,-5,25,-118.2748,5,3,0,Apr-03,11,2,,Center(C),2003/11/6,SAS
21315,Turnaround Fadeaway shot,33.9453,56,99,-118.2138,2,2,0,Dec-11,21,11,1,Center(C),2012/4/1,GSW
13505,Layup Shot,34.0443,0,0,-118.2698,3,1,0,1996-97,9,0,0,Center(C),1997/4/6,DAL
30428,Jump Shot,33.9593,138,85,-118.1318,6,4,0,Sep-08,0,16,1,Right Side(R),2009/1/16,ORL
13584,Jump Shot,33.8783,-85,166,-118.3548,2,2,1,1999-00,6,18,1,Left Side Center(LC),2000/5/5,SAC
4158,Jump Shot,33.8863,-136,158,-118.4058,0,4,0,Mar-02,0,20,1,Left Side Center(LC),2003/4/4,MEM
2560,Jump Shot,33.9213,-138,123,-118.4078,4,3,0,Nov-10,40,18,0,Left Side Center(LC),2011/2/10,BOS
27024,Jump Shot,33.7273,-128,317,-118.3978,0,2,0,1999-00,4,34,,Left Side Center(LC),2000/1/10,DEN
14085,Running Jump Shot,34.0143,72,30,-118.1978,8,4,0,May-04,57,7,,Center(C),2004/11/12,ORL
10440,Driving Layup Shot,34.0443,0,0,-118.2698,6,4,0,1999-00,46,0,1,Center(C),1999/12/3,POR
13959,Jump Shot,33.8613,-189,183,-118.4588,4,2,0,Jun-05,0,26,1,Left Side Center(LC),2006/3/26,NOP
10211,Jump Shot,33.9643,-150,80,-118.4198,2,2,0,Oct-09,53,17,0,Left Side(L),2009/11/22,OKC
3735,Jump Shot,33.8903,-136,154,-118.4058,2,5,0,Jan-00,35,20,1,Left Side Center(LC),2001/1/15,VAN
11377,Running Jump Shot,33.9883,-8,56,-118.2778,5,3,0,Sep-08,10,5,1,Center(C),2009/2/2,NYK
23303,Running Bank shot,33.9533,-41,91,-118.3108,4,4,0,Sep-08,13,9,0,Center(C),2009/2/27,DEN
26325,Driving Layup Shot,34.0443,0,0,-118.2698,11,2,0,Jun-05,6,0,,Center(C),2006/3/30,SAS
13886,Turnaround Jump Shot,33.8443,162,200,-118.1078,3,3,0,Dec-11,25,25,0,Right Side Center(RC),2012/3/9,MIN
11759,Jump Shot,33.9113,-182,133,-118.4518,4,1,0,May-04,11,22,0,Left Side Center(LC),2004/11/7,ATL
3861,Jump Shot,33.9783,-172,66,-118.4418,8,4,1,Apr-03,39,18,0,Left Side(L),2004/5/31,MIN
6506,Jump Shot,33.8813,151,163,-118.1188,0,1,0,Jun-05,30,22,0,Right Side Center(RC),2006/1/12,CLE
27702,Jump Shot,33.8193,-56,225,-118.3258,0,5,0,Jun-05,0,23,1,Center(C),2005/11/2,DEN
27745,Jump Shot,33.8963,-123,148,-118.3928,9,1,0,Jul-06,33,19,1,Left Side Center(LC),2007/4/4,LAC
2605,Jump Shot,33.9893,39,55,-118.2308,6,2,0,2014-15,12,6,0,Center(C),2014/11/28,MIN
22898,Jump Shot,34.0003,17,44,-118.2528,3,1,0,Nov-10,0,4,0,Center(C),2011/4/3,DEN
5103,Jump Shot,33.9753,182,69,-118.0878,3,4,0,Apr-03,31,19,0,Right Side(R),2004/3/24,SAC
6391,Jump Shot,33.9913,59,53,-118.2108,0,2,0,Jul-06,0,7,,Center(C),2007/4/1,SAC
24753,Jump Shot,33.8243,-99,220,-118.3688,0,4,1,1996-97,34,24,1,Left Side Center(LC),1997/4/30,POR
10498,Jump Shot,33.8073,91,237,-118.1788,2,2,0,1997-98,50,25,0,Right Side Center(RC),1997/11/18,UTA
1298,Turnaround Jump Shot,33.9913,3,53,-118.2668,2,3,0,Aug-07,53,5,1,Center(C),2008/3/20,UTA
5788,Jump Shot,33.8323,-116,212,-118.3858,4,2,0,1996-97,4,24,,Left Side Center(LC),1997/1/3,SAC
14224,Turnaround Jump Shot,33.9443,-48,100,-118.3178,3,1,0,2015-16,51,11,0,Center(C),2015/12/12,HOU
21337,Jump Shot,33.9743,-229,70,-118.4988,1,2,0,Jan-00,48,23,0,Left Side(L),2001/3/16,WAS
636,Running Jump Shot,33.9723,-4,72,-118.2738,0,4,0,Nov-10,4,7,1,Center(C),2010/11/14,PHX
10785,Jump Shot,34.0323,-156,12,-118.4258,2,5,0,Mar-02,49,15,0,Left Side(L),2003/4/6,PHX
29113,Jump Shot,33.9313,-209,113,-118.4788,1,1,1,Dec-11,31,23,0,Left Side Center(LC),2012/5/16,OKC
21019,Driving Layup Shot,34.0463,17,-2,-118.2528,9,1,0,2012-13,49,1,1,Center(C),2012/11/4,DET
16982,Jump Shot,33.8123,118,232,-118.1518,0,2,0,Apr-03,35,26,0,Right Side Center(RC),2004/3/26,MIN
20865,Turnaround Fadeaway shot,33.9063,-87,138,-118.3568,8,4,0,Aug-07,29,16,0,Left Side Center(LC),2008/4/8,POR
23768,Driving Layup Shot,34.0223,24,22,-118.2458,4,1,0,Nov-10,40,3,,Center(C),2010/11/19,MIN
13218,Jump Shot,34.0143,51,30,-118.2188,5,1,0,Mar-02,34,5,1,Center(C),2003/3/5,IND
11035,Layup Shot,34.0443,0,0,-118.2698,9,1,0,Jun-05,52,0,1,Center(C),2006/1/31,NYK
8495,Jump Shot,33.8803,-85,164,-118.3548,1,3,0,Jun-05,56,18,0,Left Side Center(LC),2006/3/19,CLE
7210,Jump Shot,33.8843,-153,160,-118.4228,2,1,1,Apr-03,56,22,0,Left Side Center(LC),2004/6/10,DET
13596,Layup Shot,34.0443,0,0,-118.2698,7,3,0,Apr-03,32,0,0,Center(C),2004/3/15,ORL
17836,Jump Shot,33.8493,-152,195,-118.4218,5,1,1,Oct-09,55,24,1,Left Side Center(LC),2010/5/8,UTA
4860,Jump Shot,33.9403,-29,104,-118.2988,0,1,1,Feb-01,0,10,0,Center(C),2002/6/2,SAC
25124,Jump Shot,33.8653,-5,179,-118.2748,7,2,1,Nov-10,51,17,1,Center(C),2011/4/26,NOH
2925,Step Back Jump shot,33.8953,15,149,-118.2548,5,4,0,Nov-10,45,14,0,Center(C),2011/3/1,MIN
12759,Jump Shot,33.8763,77,168,-118.1928,7,1,0,Jul-06,35,18,1,Right Side Center(RC),2006/11/7,MIN
28695,Jump Shot,33.8453,159,199,-118.1108,4,2,0,Jul-06,28,25,1,Right Side Center(RC),2006/12/22,NJN
6635,Jump Shot,34.0473,147,-3,-118.1228,1,2,0,1998-99,3,14,0,Right Side(R),1999/4/17,UTA
25604,Driving Layup Shot,34.0363,-53,8,-118.3228,9,4,0,1997-98,14,5,0,Center(C),1998/1/7,MIL
11732,Layup Shot,34.0443,0,0,-118.2698,0,5,0,May-04,38,0,0,Center(C),2004/12/17,WAS
14418,Reverse Slam Dunk Shot,34.0433,0,1,-118.2698,4,1,0,2014-15,10,0,1,Center(C),2014/11/28,MIN
14621,Jump Shot,33.9513,-118,93,-118.3878,4,1,0,1996-97,36,15,0,Left Side(L),1997/3/14,LAC
24328,Turnaround Jump Shot,33.8743,-8,170,-118.2778,3,3,0,2014-15,31,17,0,Center(C),2014/12/30,DEN
16666,Jump Shot,33.9043,-90,140,-118.3598,10,1,0,Sep-08,48,16,0,Left Side Center(LC),2009/2/5,BOS
4060,Layup Shot,34.0443,0,0,-118.2698,1,4,0,May-04,35,0,0,Center(C),2004/11/2,DEN
19928,Jump Shot,33.9453,169,99,-118.1008,2,2,1,Feb-01,14,19,1,Right Side(R),2002/5/28,SAC
28279,Driving Layup Shot,34.0443,0,0,-118.2698,2,1,0,Sep-08,5,0,,Center(C),2008/12/3,PHI
23920,Jump Shot,33.8433,13,201,-118.2568,3,4,0,Aug-07,6,20,0,Center(C),2008/3/2,DAL
3127,Jump Shot,34.0213,182,23,-118.0878,11,3,0,2014-15,18,18,0,Right Side(R),2014/10/29,PHX
9481,Jump Shot,33.8153,1,229,-118.2688,7,3,0,Apr-03,43,22,0,Center(C),2004/2/22,PHX
12397,Layup Shot,34.0443,0,0,-118.2698,7,1,0,Feb-01,20,0,1,Center(C),2002/2/1,MEM
13782,Jump Shot,33.9313,133,113,-118.1368,3,3,1,Sep-08,55,17,0,Right Side Center(RC),2009/5/8,HOU
20155,Jump Shot,33.9023,88,142,-118.1818,11,4,0,Oct-09,42,16,0,Right Side Center(RC),2009/12/25,CLE
20036,Jump Shot,33.7743,11,270,-118.2588,5,2,0,Jan-00,49,27,,Center(C),2001/1/7,LAC
30,Jump Shot,34.0393,-94,5,-118.3638,1,1,0,1997-98,45,9,,Left Side(L),1998/2/25,IND
8648,Jump Shot,33.9933,167,51,-118.1028,0,4,0,Feb-01,40,17,0,Right Side(R),2002/2/26,MIL
27261,Jump Shot,33.9973,43,47,-118.2268,6,4,1,Sep-08,36,6,0,Center(C),2009/5/8,HOU
